Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Gómez Hernández, Luz Yadira; Semeshenko, Viktoriya","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Colombia""]",,Fixed effects (incl. DiD),"[""Impact evaluations""]",33419,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Revista de Economía Política de Buenos Aires,Transporte público|| Public Transportation|| sistemas de buses rápidos|| Bus Rapid Transit (BRT) System|| modelo de Precios hedónicos|| Hedonic price model|| estimador de diferencias en diferencias|| Difference-In-Difference Estimation,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33419,Published,completed,"Impacto del Metroplús Sobre los Precios de Vivienda en Medellín, Colombia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacto-del-metroplús-sobre-los-precios-de-vivienda-en-medellín--colombia/33419,2018
None,No,Q1,,"D'Elia, Vanesa Valeria; Grand, Mariana Conte; Leon, Sonia","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Argentina""]",10.1016/j.retrec.2020.100814,Statistical matching,"[""Impact evaluations""]",33340,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Research in Transportation Economics,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33340,Published,completed,Bus Rapid Transit and Property Values in Buenos Aires: Combined Spatial Hedonic Pricing and Propensity Score Techniques,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/bus-rapid-transit-and-property-values-in-buenos-aires--combined-spatial-hedonic-pricing-and-propensity-score-techniques/33340,2020
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Warnes, Pablo Ernesto","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation"", ""Bus Rapid Transit (BRT) | Economic activity""]",,"[""Latin America and Caribbean""]","[""Argentina""]",10.7916/d8-q32f-zp56,Instrumental variable estimation,"[""Impact evaluations""]",34409,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Columbia University,Bus Rapid Transit (BRT) System|| spatial sorting|| Argentina,"[""2194"", ""2195"", ""2199"", ""2202""]","[""Land, housing, and rent prices and affordability"", ""Goods and services prices and inflation"", ""Inequality and segregation"", ""Economic activity""]",Thesis,Thesis,34409,Published,completed,Transport Infrastructure Improvements and Spatial Sorting: Evidence from Buenos Aires - Reduced Form Analysis,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transport-infrastructure-improvements-and-spatial-sorting--evidence-from-buenos-aires---reduced-form-analysis/34409,2021
None,No,Q3,,"Echeverri Duran, Carolina; Restrepo, Diana Marcela; Morales Leonardo Fabio","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.13043/DYS.83.4,Fixed effects (incl. DiD),"[""Impact evaluations""]",33355,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Desarrollo y Sociedad,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33355,Published,completed,Sustainable Transport and Housing Market: An Analysis for Medellin City.,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/sustainable-transport-and-housing-market--an-analysis-for-medellin-city-/33355,2019
None,No,Q2,,"Mulley, Corinne; Sampaio, Breno; Ma, Liang","[""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability""]",,"[""East Asia and Pacific""]","[""Australia""]",10.3141/2647-06,Fixed effects (incl. DiD),"[""Impact evaluations""]",33601,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",TRANSPORTATION RESEARCH RECORD,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33601,Published EGM,completed,"South Eastern Busway Network in Brisbane, Australia Value of the Network Effect",ier,https://journals.sagepub.com/doi/10.3141/2647-06,2017
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Velásquez, Daniel","[""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation"", ""Bus Rapid Transit (BRT) | Economic activity"", ""Urban trains (subways, passenger trains, LRT, metros) | Goods and services prices and inflation"", ""Urban trains (subways, passenger trains, LRT, metros) | Inequality and segregation"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity""]",,"[""Latin America and Caribbean""]","[""Peru""]",No DOI,Instrumental variable estimation,"[""Impact evaluations""]",33521,"[""Upper middle income""]","[""2154"", ""2155""]","[""Bus Rapid Transit (BRT)"", ""Urban trains (subways, passenger trains, LRT, metros)""]",CAF Working Paper Series,Mass transit|| Gender Gap|| dual earners|| quantitative spatial models|| LATIN America,"[""2195"", ""2199"", ""2202""]","[""Goods and services prices and inflation"", ""Inequality and segregation"", ""Economic activity""]",Published working paper,RPRT,33521,Published,completed,Transit Infrastructure and Couples’ Commuting Choices in General Equilibrium,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transit-infrastructure-and-couples’-commuting-choices-in-general-equilibrium/33521,2022
None,No,Q1,,"Moreno-Monroy, Ana I.; Roman Ramos, Federico","[""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation"", ""Urban trains (subways, passenger trains, LRT, metros) | Goods and services prices and inflation"", ""Urban trains (subways, passenger trains, LRT, metros) | Inequality and segregation""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1016/j.retrec.2020.100928,Instrumental variable estimation,"[""Impact evaluations""]",33268,"[""Upper middle income""]","[""2154"", ""2155""]","[""Bus Rapid Transit (BRT)"", ""Urban trains (subways, passenger trains, LRT, metros)""]",Journal of Transport,Informality|| Public Transportation|| COMMUTING|| Accessibility|| BRAZIL,"[""2195"", ""2199""]","[""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,33268,Published,completed,The impact of public transport expansions on informality: The case of the Sao ˜ Paulo Metropolitan Region,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-public-transport-expansions-on-informality--the-case-of-the-sao-˜-paulo-metropolitan-region/33268,2021
Cost-benefit/cost-effectiveness analyses,No,Q1,,"Bocarejo, Juan Pablo; Portilla, Ingrid; Mélendez, David","[""Bus Rapid Transit (BRT) | Goods and services prices and inflation"", ""Bus Rapid Transit (BRT) | Inequality and segregation""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.1177/0042098015588739,Fixed effects (incl. DiD),"[""Impact evaluations""]",34463,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Urban Studies,urban fragmentation|| Bus Rapid Transit (BRT)|| Social Exclusion|| Developing city|| Entropy Balancing,"[""2195"", ""2199""]","[""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,34463,Published,completed,Social Fragmentation as a Consequence of Implementing a Bus Rapid Transit System in the City of Bogotá,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/social-fragmentation-as-a-consequence-of-implementing-a-bus-rapid-transit-system-in-the-city-of-bogotá/34463,2016
None,No,Q1,,"Chang, Annie; Miranda-Moreno, Luis; Cao, Jason; Welle, Ben","[""Bus Rapid Transit (BRT) | Health access and outcomes"", ""Active mobility (pedestrian, bicycles, etc.) | Health access and outcomes""]",,"[""Latin America and Caribbean""]","[""Mexico""]",10.1016/j.tra.2017.04.032,Statistical matching,"[""Impact evaluations""]",10839,"[""Upper middle income""]","[""2154"", ""2158""]","[""Bus Rapid Transit (BRT)"", ""Active mobility (pedestrian, bicycles, etc.)""]",Transportation Research Part A: Policy and Practice,Propensity Score Matching|| MEXICO|| Active travel|| Built environment|| BUS rapid transit|| PHYSICAL activity|| Repeated cross-sectional analysis|| STREETSCAPES (Urban design)|| TRANSPORTATION|| URBAN transportation|| Walking,"[""2196""]","[""Health access and outcomes""]",Journal article,JOUR,10839,Published,completed,The Effect of BRT Implementation and Streetscape Redesign on Physical Activity: A Case Study of Mexico City,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-effect-of-brt-implementation-and-streetscape-redesign-on-physical-activity--a-case-study-of-mexico-city/10839,2017
None,No,Q1,,"Stankov, Ivana; Garcia, Leandro M.T.; Mascolli, Maria Antonietta; Montes, Felipe; Meisel, José D.; Gouveia, Nelson; Sarmiento, Olga L.; Rodriguez, Daniel A.; Hammond, Ross A.; Caiaffa, Waleska Teixeira; Diez Roux, Ana V.","[""Bus Rapid Transit (BRT) | Health access and outcomes"", ""Cables | Health access and outcomes"", ""Low-emission mobility: infrastructure | Health access and outcomes""]",low,"[""North America"", ""Latin America and Caribbean"", ""Europe and Central Asia"", ""East Asia and Pacific""]","[""Canada"", ""United States"", ""Colombia"", ""Mexico"", ""Brazil"", ""United Kingdom"", ""Denmark"", ""Australia""]",https://doi.org/10.1016/j.envres.2020.109519,,"[""Low confidence reviews""]",33763,"[""High income"", ""Upper middle income""]","[""2154"", ""2156"", ""2160""]","[""Bus Rapid Transit (BRT)"", ""Cables"", ""Low-emission mobility: infrastructure""]",ENVIRONMENTAL RESEARCH,,"[""2196""]","[""Health access and outcomes""]",Journal article,JOUR,33763,Published EGM,completed,A Systematic Review of Empirical and Simulation Studies Evaluating the Health Impact of Transportation Interventions,srr,https://www.sciencedirect.com/science/article/pii/S0013935120304126?via%3Dihub,2020
Cost information (program costs and/or cost per participant),No,Q1,,"Abu-Qarn, Aamer; Lichtman-Sadot, Shirlee","[""Bus Rapid Transit (BRT) | Education access and outcomes"", ""Bus Rapid Transit (BRT) | Employment access and outcomes""]",,"[""Middle East and North Africa""]","[""Israel""]",10.1002/pam.22339,Fixed effects (incl. DiD),"[""Impact evaluations""]",33255,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,,"[""2197"", ""2201""]","[""Education access and outcomes"", ""Employment access and outcomes""]",Journal article,JOUR,33255,Published EGM,completed,The Trade-Off Between Work and Education: Evidence from Public Transportation Penetration to Arab Towns in Israel,ier,https://onlinelibrary.wiley.com/doi/epdf/10.1002/pam.22339,2022
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Warnes, Pablo Ernesto","[""Bus Rapid Transit (BRT) | Employment access and outcomes"", ""Bus Rapid Transit (BRT) | Economic activity"", ""Bus Rapid Transit (BRT) | Trade and migration""]",,"[""Latin America and Caribbean""]","[""Argentina""]",,Fixed effects (incl. DiD),"[""Impact evaluations""]",33439,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",,Bus Rapid Transit (BRT) System|| Argentina (Buenos Aires)|| Migration|| Segregation,"[""2201"", ""2202"", ""2203""]","[""Employment access and outcomes"", ""Economic activity"", ""Trade and migration""]",Published working paper,RPRT,33439,Published,completed,Evaluating the Impact of Buenos Aires’s Metrobus on Within-City Spatial Sorting,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluating-the-impact-of-buenos-aires’s-metrobus-on-within-city-spatial-sorting/33439,2022
None,Yes,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Scholl, Lynn; Martinez, Daniel; Mitnik, Oscar A.; Oviedo, Daniel; Yañez-Pagans, Patricia","[""Bus Rapid Transit (BRT) | Employment access and outcomes""]",,"[""Latin America and Caribbean""]","[""Peru""]",http://dx.doi.org/10.18235/0001527,Fixed effects (incl. DiD),"[""Impact evaluations""]",33420,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Inter-American Development Bank (IDB) Working Paper Series,Bus Rapid Transit (BRT)|| Employment Impact,"[""2201""]","[""Employment access and outcomes""]",Published working paper,RPRT,33420,Published,completed,A Rapid Road to Employment? The Impacts of a Bus Rapid Transit System in Lima,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/a-rapid-road-to-employment--the-impacts-of-a-bus-rapid-transit-system-in-lima/33420,2018
None,No,Q3,,"Jaramillo, Ana; Rengifo, Camilo","[""Bus Rapid Transit (BRT) | Employment access and outcomes""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.17533/udea.le.n89a05,Fixed effects (incl. DiD),"[""Impact evaluations""]",33554,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Lecturas de Economia,Metroplus|| Program Impact Evaluation|| spatial mismatch|| Formality|| underemployment,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33554,Published,completed,"Impacto del Sistema Metroplús Sobre el Mercado Laboral de las Comunas Manrique y Aranjuez de Medellín, Colombia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacto-del-sistema-metroplús-sobre-el-mercado-laboral-de-las-comunas-manrique-y-aranjuez-de-medellín--colombia/33554,2018
None,No,Q1,,"Champagne, Marie-Pier; Dubé, Jean","[""Bus Rapid Transit (BRT) | Economic activity"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity"", ""Highways and national roads | Economic activity"", ""Railways and intermunicipal trains | Economic activity"", ""Ports | Economic activity""]",low,"[""Multi-continent""]","[""Multi-country""]",https://doi.org/10.1016/j.tranpol.2022.11.015,,"[""Low confidence reviews""]",33745,[],"[""2154"", ""2155"", ""2163"", ""2164"", ""2167""]","[""Bus Rapid Transit (BRT)"", ""Urban trains (subways, passenger trains, LRT, metros)"", ""Highways and national roads"", ""Railways and intermunicipal trains"", ""Ports""]",TRANSPORT POLICY,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33745,Published,completed,The Impact of Transport Infrastructure on Firms' Location Decision: A Meta-Analysis Based on a Systematic Literature Review,srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/the-impact-of-transport-infrastructure-on-firms--location-decision--a-meta-analysis-based-on-a-systematic-literature-review/33745,2023
